aAcc,mIoU,mAcc,data_time,time,step
80.25,36.72,50.51,0.2817019115794789,0.7683546976609663,400.0
68.82,34.08,55.07,0.005021055539449056,1.2382857004801433,800.0
77.04,42.11,58.13,0.01670531431833903,0.14242772261301676,1200.0
75.04,38.74,55.58,0.005672951539357503,0.13624093929926553,1600.0
87.22,51.77,62.74,0.024429301420847576,0.15004360675811768,2000.0
77.32,37.66,54.75,0.12278187274932861,0.2593477964401245,2400.0
73.6,37.98,60.02,0.004842122395833333,0.13500899076461792,2800.0
